water_depth (m),weight (t),installation_date,type_of_production (1 oil and gas; 2 oil; 3 gas),number_of_legs,number_of_piles,height_of_jacket_or_sub-structure (m),distance_to_coast (km),risk_to_other_users-complete,risk_to_other_users-partial,risk_to_personnel-complete,risk_to_personnel-partial,energy_consumption-complete (GJ),energy_consumption-partial (GJ),emissions-complete (t),emissions-partial (t),impacts_of_option-complete,impacts_of_option-partial,technical_feasibility_or_challenge-complete,technical_feasibility_or_challenge-partial,commercial_impact_on_fisheries-complete,commercial_impact_on_fisheries-partial,wider_community_impact-complete,wider_community_impact-partial,total_removal_cost-complete,total_removal_cost-partial
146,10858,42,2,8,10,157.632,122,0,1.6151770651340484e-05,0.068,0.116,360827,474703,26589,31811,0.002,1,0.086,0.993,0.19,0.352,0.5,0.37,0.543,0.967
155,27534,45,3,8,31,165.982,120,0,2.2999964356422423e-05,0.025,0.01,298928,688202,24608,41616,1.0,1,0.5,1.0,1.0,0.938,1.0,1.0,0.541,0.696
99,14430,31,1,8,29,114.022,281,0,0.0,0.029,0.012,1004809,445253,66715,32447,0.0,1,0.5,0.15,0.0,0.0,0.013,0.003,1.0,0.94
132,10289,31,1,4,5,153.951,281,1,2.302438020706177e-09,0.13,0.112,377428,462311,33207,31877,0.0,1,0.0,1.0,0.999,0.937,0.452,0.738,0.999,0.424
154,17332,45,3,8,29,163.307,120,0,2.264775919914245e-05,0.049,0.093,372861,620700,27894,38412,0.075,0,0.485,0.994,0.546,0.4,0.66,0.67,0.536,0.925
100,21085,34,1,8,6,115.752,281,1,2.64585018157959e-10,0.268,0.091,1091538,819273,87422,60648,0.0,1,0.0,0.998,0.893,0.858,0.252,0.331,1.0,0.473
148,10310,31,1,4,5,163.466,281,1,6.1690807342529286e-12,0.17,0.142,327610,445392,26938,31457,0.0,1,0.0,1.0,0.998,0.931,0.76,0.801,1.0,0.41
135,22565,42,1,8,12,151.348,145,0,3.346177935600281e-08,0.296,0.156,1041397,782056,86733,62603,0.0,0,0.083,0.984,0.073,0.045,0.135,0.141,0.909,0.553
99,13667,31,1,8,10,114.288,281,0,9.973347187042235e-10,0.028,0.011,925018,454067,67091,33066,0.001,1,0.025,0.819,0.691,0.45,0.16,0.239,1.0,0.626
120,19630,42,2,8,30,142.839,130,0,7.696699351072311e-06,0.041,0.069,605165,566335,46246,42152,0.011,1,0.5,0.519,0.085,0.045,0.213,0.192,0.911,0.921
150,12284,35,1,8,6,162.264,268,1,5.431347787380218e-07,0.15,0.133,467325,507413,41123,37918,0.002,1,0.004,1.0,0.782,0.546,0.313,0.582,0.975,0.454
99,20877,40,1,8,5,114.052,281,1,0.0,0.32,0.158,1122610,870470,88209,61798,0.0,1,0.0,1.0,0.928,0.934,0.872,0.477,1.0,0.486
154,27639,45,2,8,31,164.717,281,0,2.085100620985031e-06,0.025,0.01,368499,589436,49849,60589,1.0,1,0.5,0.929,0.986,0.044,0.956,0.969,1.0,0.411
154,24783,45,3,8,31,161.122,120,0,2.0729641199111934e-05,0.082,0.082,479409,688174,37724,49159,0.12,0,0.499,0.994,0.507,0.302,0.712,0.772,0.563,0.864
100,10057,31,1,4,5,141.843,282,1,0.0,0.284,0.157,298175,433588,24294,31071,0.0,1,0.0,1.0,1.0,0.94,0.947,0.865,1.0,0.41
154,27260,45,3,8,31,165.581,271,0,2.231932693719864e-05,0.025,0.014,309939,471446,27301,39774,0.999,1,0.5,0.998,0.997,0.457,0.98,0.986,0.996,0.441
99,11504,31,1,8,8,115.864,279,0,5.310824513435364e-08,0.035,0.017,647803,458210,45676,32102,0.001,1,0.017,0.85,0.55,0.558,0.191,0.175,0.999,0.926
99,10085,31,1,4,5,115.884,282,1,0.0,0.082,0.025,304080,433654,24791,31077,0.0,1,0.0,1.0,1.0,0.939,0.771,0.624,1.0,0.41
99,10068,31,1,4,5,151.373,281,1,0.0,0.105,0.129,298680,433332,24327,31074,0.0,1,0.0,1.0,0.994,0.906,0.624,0.183,1.0,0.417
111,11309,35,1,4,5,122.289,281,1,0.0,0.32,0.16,616571,715911,52640,49310,0.0,1,0.0,1.0,0.995,0.938,0.818,0.776,1.0,0.412
99,14037,32,1,8,13,114.944,197,0,4.045546054840088e-09,0.201,0.108,984773,592384,66620,43154,0.0,1,0.058,0.261,0.02,0.087,0.159,0.043,0.997,0.97
154,26358,45,1,8,28,156.018,194,0,2.142882972955704e-06,0.148,0.046,864560,799884,77563,54885,0.287,1,0.036,1.0,0.993,0.905,0.96,0.988,0.974,0.574
155,10129,45,3,8,18,165.416,120,0,2.2998963594436647e-05,0.059,0.154,325633,538410,24799,31441,0.0,0,0.003,1.0,0.361,0.729,0.385,0.576,0.53,0.999
99,24184,40,1,8,5,114.034,281,1,0.0,0.32,0.16,1171570,894951,91909,63967,0.0,1,0.0,1.0,1.0,0.94,0.79,0.849,1.0,0.41
104,11574,31,1,4,5,139.207,281,1,0.0,0.026,0.011,344370,434242,29545,31292,0.0,1,0.009,0.951,0.876,0.098,0.132,0.299,1.0,0.41
150,16482,45,1,8,28,142.45,121,0,2.298586046695709e-05,0.028,0.011,420859,698254,32677,32503,0.958,1,0.001,1.0,1.0,0.94,0.998,0.998,0.535,0.998
155,15078,45,1,8,14,165.237,278,0,2.2328845143318176e-05,0.025,0.01,306610,545965,26408,31223,0.994,1,0.0,1.0,1.0,0.94,0.999,1.0,0.993,0.542
137,13627,43,1,8,22,158.749,257,0,2.248349440097809e-05,0.025,0.011,312067,448126,25487,31219,0.97,1,0.375,0.999,0.998,0.915,0.971,0.971,0.961,0.872
100,10660,31,1,8,5,114.748,281,1,1.460015773773193e-10,0.195,0.039,730425,541721,55732,34268,0.0,1,0.0,1.0,1.0,0.94,0.564,0.55,1.0,0.482
144,16916,39,2,8,17,161.928,134,0,1.4952007830142976e-06,0.195,0.149,654849,543002,51444,51857,0.001,0,0.428,0.929,0.028,0.014,0.072,0.099,0.77,0.567
139,13863,32,1,8,5,156.466,281,1,0.0,0.282,0.144,687418,617207,79908,49611,0.0,1,0.0,1.0,0.999,0.92,0.434,0.889,1.0,0.41
153,27586,45,2,8,31,153.386,207,0,6.050744742155075e-06,0.031,0.012,481772,712848,54188,57029,0.985,1,0.5,0.951,0.959,0.356,0.97,0.976,0.999,0.494
99,18195,31,1,8,31,114.0,281,0,4.7296285629272463e-11,0.026,0.01,1166429,470191,87520,32259,0.0,1,0.5,0.15,0.001,0.004,0.072,0.01,1.0,0.999
109,26041,34,1,8,7,115.74,281,1,6.854534149169922e-13,0.297,0.066,1160088,857777,91589,63410,0.0,1,0.0,0.999,0.959,0.623,0.279,0.607,1.0,0.41
154,10448,39,2,4,6,165.62,135,0,4.064695566892624e-06,0.056,0.144,307062,442520,24651,31396,0.0,1,0.013,1.0,0.57,0.371,0.497,0.292,0.616,0.499
154,15672,45,1,8,25,162.959,200,0,2.282108294963837e-05,0.026,0.011,313968,477657,25772,31368,0.995,1,0.049,1.0,1.0,0.939,0.994,0.997,0.794,0.81
155,12228,45,3,8,20,165.977,120,0,2.243323147296905e-05,0.144,0.16,321156,532220,26173,50283,0.0,0,0.499,0.998,0.003,0.002,0.03,0.032,0.53,0.746
100,13696,31,1,8,6,118.81,281,1,4.976391792297364e-10,0.089,0.048,786380,516150,60030,36943,0.0,1,0.002,0.882,0.469,0.38,0.226,0.192,1.0,0.573
155,27485,45,3,8,31,165.934,245,0,2.299454790353775e-05,0.025,0.01,299836,527563,24990,34141,1.0,1,0.5,1.0,1.0,0.936,1.0,1.0,0.961,0.468
111,19181,36,1,8,17,126.48,280,0,3.442772030830383e-07,0.034,0.013,652634,544862,66247,35405,0.364,1,0.051,0.997,0.987,0.891,0.805,0.87,1.0,0.692
99,10454,31,1,4,6,116.105,279,1,0.0,0.239,0.121,392185,440622,26388,31391,0.0,1,0.001,0.24,0.014,0.05,0.164,0.08,1.0,0.67
153,27615,45,2,8,31,159.296,255,0,2.0342247605323797e-05,0.025,0.01,343522,629492,34265,48437,1.0,1,0.5,0.988,0.999,0.739,0.996,0.996,1.0,0.471
101,12748,35,1,8,5,115.261,280,1,5.963444709777833e-11,0.309,0.145,976668,780736,77797,54001,0.0,1,0.0,1.0,0.984,0.935,0.38,0.438,1.0,0.456
145,25995,44,1,8,31,138.878,277,0,1.8654044389724733e-05,0.025,0.01,419311,501737,43163,32443,0.999,1,0.5,0.993,0.998,0.896,0.99,0.995,1.0,0.902
100,14734,32,1,4,5,114.597,281,1,0.0,0.315,0.142,950897,796741,82851,57110,0.0,1,0.0,1.0,1.0,0.94,0.62,0.631,1.0,0.41
155,19981,45,3,8,31,165.996,120,0,2.299980396032333e-05,0.028,0.156,298201,681564,24313,43618,0.003,0,0.5,1.0,0.335,0.075,0.617,0.529,0.53,0.985
123,10464,31,1,4,5,150.896,281,1,4.964876174926759e-08,0.03,0.022,329276,436036,26068,31179,0.002,1,0.003,0.995,0.951,0.692,0.478,0.645,1.0,0.468
120,24581,43,1,8,10,127.254,131,1,2.2105872631073e-09,0.312,0.158,1134320,853086,90599,63500,0.0,0,0.018,0.983,0.026,0.028,0.094,0.052,0.954,0.601
153,19081,45,1,8,28,158.162,209,0,2.2802452325820923e-05,0.026,0.011,349636,542675,32127,32291,0.998,1,0.119,1.0,1.0,0.939,0.992,0.997,0.822,0.889
104,26594,33,1,8,31,116.83,281,0,5.693376064300537e-09,0.027,0.01,871838,497197,70771,40033,0.322,1,0.5,0.183,0.208,0.041,0.514,0.583,1.0,0.546
99,23677,34,1,8,8,114.513,278,1,1.0693073272705077e-10,0.254,0.09,1107160,747651,86593,55748,0.0,1,0.005,0.741,0.219,0.32,0.327,0.231,1.0,0.66
102,15502,32,1,4,5,115.027,281,1,0.0,0.319,0.157,1036691,851730,88231,60696,0.0,1,0.0,1.0,1.0,0.94,0.799,0.744,1.0,0.41
130,14106,45,1,8,11,121.142,121,0,7.004219353199005e-06,0.199,0.111,1024663,806055,78438,44447,0.001,1,0.0,1.0,0.846,0.916,0.551,0.809,0.555,0.985
99,14752,36,1,8,5,114.079,281,1,0.0,0.32,0.159,1070436,849362,83114,60601,0.0,1,0.0,1.0,0.99,0.939,0.792,0.579,1.0,0.433
155,26178,45,3,8,27,165.887,226,0,1.1430172860622406e-05,0.036,0.035,377304,554572,43092,57428,0.829,1,0.498,1.0,0.948,0.154,0.802,0.932,0.976,0.413
155,26139,45,1,8,31,164.772,258,0,2.2989882707595822e-05,0.025,0.01,304103,490580,26760,31984,1.0,1,0.481,1.0,1.0,0.94,1.0,1.0,0.984,0.725
133,11989,36,3,8,22,145.603,120,0,3.7499922513961793e-07,0.171,0.155,666493,510314,39304,37677,0.0,0,0.494,0.255,0.001,0.002,0.011,0.011,0.576,0.966
99,16831,32,1,8,28,114.35,263,0,7.1403682231903076e-09,0.039,0.014,1056445,527753,71965,34123,0.001,1,0.484,0.161,0.039,0.051,0.226,0.146,1.0,0.971
145,27644,44,2,8,31,158.681,274,0,1.3146516680717469e-07,0.025,0.01,347928,549764,37981,59836,0.972,1,0.5,0.254,0.698,0.001,0.801,0.808,1.0,0.421
99,26244,31,1,8,28,114.004,281,0,0.0,0.049,0.01,1175929,632037,91561,54807,0.0,1,0.363,0.163,0.009,0.015,0.055,0.053,1.0,0.537
99,16611,31,1,8,22,119.309,281,0,6.854534149169922e-13,0.028,0.026,848136,439971,63810,34272,0.0,1,0.5,0.15,0.0,0.0,0.004,0.01,1.0,0.433
155,27196,45,3,8,31,166.0,120,0,2.3e-05,0.025,0.016,297674,559703,24290,35704,1.0,1,0.5,1.0,1.0,0.935,1.0,1.0,0.53,0.826
154,15622,40,1,8,11,165.581,278,0,1.0714544415473936e-05,0.029,0.031,319304,448247,27382,32638,0.695,1,0.202,1.0,0.996,0.782,0.899,0.933,0.993,0.431
99,16548,31,1,8,28,114.08,281,0,2.748668193817139e-10,0.026,0.011,995353,444245,67417,32359,0.001,1,0.5,0.15,0.002,0.002,0.046,0.019,1.0,0.931
155,23992,45,2,8,30,165.478,125,0,2.2999133586883544e-05,0.025,0.01,313157,662008,29309,32548,1.0,1,0.035,1.0,1.0,0.94,1.0,1.0,0.561,0.946
153,10599,44,2,8,11,163.885,121,0,2.29416418671608e-05,0.033,0.061,337573,490402,25820,31445,0.066,1,0.001,1.0,0.988,0.923,0.884,0.889,0.531,0.988
101,11596,31,1,4,8,135.899,281,0,2.892613410949707e-10,0.03,0.034,370301,435230,31435,31557,0.0,1,0.459,0.211,0.082,0.009,0.114,0.094,1.0,0.44
113,14978,42,1,8,28,127.957,169,0,2.1790865659713745e-05,0.026,0.011,428586,475436,31738,31639,0.827,1,0.474,0.976,0.967,0.853,0.907,0.873,0.854,0.993
121,16254,45,3,8,31,149.948,121,0,2.2945054054260252e-05,0.025,0.014,316412,494535,25733,31770,0.792,1,0.5,0.986,0.914,0.76,0.914,0.822,0.605,0.996
151,22858,41,1,8,14,157.382,278,0,1.093468189239502e-06,0.041,0.021,528095,562093,58470,45693,0.495,1,0.035,1.0,0.997,0.889,0.865,0.963,0.998,0.43
106,18266,33,1,8,5,118.794,281,1,5.682408809661864e-10,0.243,0.057,975656,711890,84867,53225,0.0,1,0.0,1.0,0.98,0.899,0.406,0.575,1.0,0.43
154,26225,45,2,8,30,163.213,207,0,1.3893958389759064e-05,0.03,0.021,372701,516204,37148,45618,0.9,1,0.5,0.995,0.899,0.213,0.82,0.922,0.979,0.451
153,15306,44,1,8,19,163.099,167,0,2.0490908741950988e-05,0.03,0.025,347104,491617,29022,33185,0.6,1,0.118,1.0,0.984,0.861,0.857,0.898,0.704,0.673
123,13509,31,1,8,5,148.422,281,1,4.798173904418946e-12,0.051,0.021,559146,468580,66236,36641,0.0,1,0.0,1.0,0.998,0.885,0.366,0.722,1.0,0.41
99,23519,32,1,8,31,114.368,240,0,6.854534149169922e-13,0.21,0.08,1154975,578023,88494,58332,0.0,1,0.5,0.15,0.0,0.0,0.007,0.003,1.0,0.84
102,14623,34,1,8,13,119.277,195,0,6.883734464645385e-08,0.203,0.105,950456,598530,67048,41408,0.0,1,0.067,0.572,0.06,0.173,0.26,0.144,0.983,0.932
120,10611,40,1,8,5,124.143,134,1,1.016390323638916e-08,0.317,0.16,916404,779807,64592,51869,0.0,1,0.0,1.0,0.607,0.83,0.098,0.219,0.758,0.842
114,12907,31,1,4,5,158.234,281,0,5.4150819778442384e-11,0.026,0.016,352878,434153,30722,31584,0.001,1,0.387,0.525,0.512,0.016,0.204,0.155,1.0,0.411
102,25612,44,1,8,5,114.994,259,1,2.7418136596679688e-12,0.32,0.158,1168678,890124,91563,63884,0.0,1,0.0,1.0,0.555,0.83,0.468,0.349,1.0,0.437
155,22231,45,3,8,31,165.529,121,0,2.299989855289459e-05,0.025,0.011,300359,598691,24730,32103,1.0,1,0.496,1.0,1.0,0.939,0.999,0.999,0.535,0.981
99,25241,34,1,8,12,114.066,281,1,5.3465366363525385e-11,0.277,0.053,1170098,861679,91328,61753,0.0,1,0.002,0.874,0.205,0.519,0.28,0.226,1.0,0.736
152,10534,37,3,4,8,165.404,120,0,9.277838170528412e-07,0.233,0.159,338853,456794,26336,34587,0.0,0,0.219,0.968,0.008,0.005,0.04,0.036,0.552,0.598
102,10344,31,1,4,5,130.632,281,1,1.048332452774048e-08,0.036,0.029,369871,438219,27696,31259,0.0,1,0.0,0.997,0.94,0.821,0.395,0.372,1.0,0.556
100,24261,43,1,8,14,114.246,203,1,8.7738037109375e-11,0.318,0.153,1168004,880816,91336,63515,0.0,1,0.0,0.938,0.047,0.214,0.262,0.108,0.999,0.815
101,17506,32,1,8,15,122.173,279,0,7.334351539611817e-11,0.114,0.1,922203,506912,63034,43730,0.0,1,0.355,0.221,0.013,0.008,0.048,0.036,1.0,0.494
144,11345,43,1,8,5,119.557,261,1,2.196192741394043e-08,0.182,0.088,899415,829012,78195,37351,0.0,1,0.0,1.0,1.0,0.94,0.937,0.987,0.978,0.651
104,10230,31,1,4,5,119.518,281,1,6.854534149169922e-13,0.032,0.012,410016,442486,36630,31247,0.0,1,0.0,1.0,1.0,0.94,0.561,0.892,1.0,0.41
155,27627,45,3,8,31,165.995,151,0,2.299999451637268e-05,0.025,0.01,297951,573247,24491,33105,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.883,0.561
155,22258,45,3,8,31,165.993,120,0,2.299999862909317e-05,0.025,0.03,298110,629172,24334,34267,0.988,1,0.5,1.0,0.999,0.923,0.997,0.996,0.53,0.993
155,15041,45,1,8,30,165.992,175,0,2.3e-05,0.025,0.01,297661,434026,24279,31064,1.0,1,0.258,1.0,1.0,0.94,1.0,1.0,0.583,0.962
99,13912,31,1,8,9,118.605,281,0,1.0254383087158203e-09,0.039,0.02,724402,458495,51173,34184,0.001,1,0.105,0.498,0.28,0.15,0.18,0.137,1.0,0.57
103,25487,40,1,8,6,114.241,280,1,6.854534149169922e-13,0.316,0.135,1174549,878604,91689,63559,0.0,1,0.0,1.0,0.621,0.74,0.272,0.47,1.0,0.423
152,17456,42,1,8,7,159.655,279,1,7.590669989585876e-07,0.055,0.033,434787,582772,49687,36142,0.097,1,0.0,1.0,1.0,0.935,0.927,0.979,0.996,0.434
149,11132,39,3,8,16,163.848,120,0,2.691404044628143e-06,0.216,0.159,487088,477256,31618,39906,0.0,0,0.476,0.734,0.0,0.001,0.015,0.011,0.535,0.916
106,23049,45,1,8,22,114.117,126,0,2.6888281106948854e-08,0.291,0.064,1172525,876714,91120,59921,0.0,1,0.0,1.0,0.78,0.92,0.65,0.838,0.965,0.993
152,20005,45,3,8,31,163.947,122,0,2.2984859704971318e-05,0.025,0.012,302858,512200,24717,31775,0.978,1,0.5,1.0,0.992,0.893,0.982,0.972,0.627,0.982
101,19560,33,1,8,5,115.259,281,1,2.0563602447509765e-12,0.301,0.12,1035969,821383,89333,59445,0.0,1,0.0,1.0,0.985,0.93,0.451,0.568,1.0,0.416
143,23049,38,3,8,26,163.302,130,0,1.8760380148887638e-07,0.095,0.139,461193,575754,44751,56696,0.001,0,0.5,0.409,0.009,0.001,0.066,0.041,0.917,0.475
134,22602,45,1,8,20,119.935,195,0,1.58754301071167e-06,0.113,0.028,934914,835633,81993,48629,0.105,1,0.002,1.0,0.99,0.931,0.934,0.968,0.965,0.879
99,10946,31,1,8,12,114.175,281,0,5.4836273193359375e-12,0.043,0.025,700282,442378,35834,31421,0.0,1,0.129,0.156,0.005,0.03,0.093,0.03,1.0,0.967
101,10935,34,1,8,10,119.139,122,0,3.909044861793518e-07,0.106,0.139,901863,539548,55741,33540,0.0,1,0.152,0.471,0.003,0.019,0.044,0.014,0.655,0.998
155,27398,44,1,8,31,164.87,281,0,7.591807842254639e-06,0.026,0.011,396688,499787,52772,47895,1.0,1,0.5,0.995,0.997,0.455,0.961,0.988,1.0,0.413
155,24743,45,1,8,29,165.798,274,0,2.295493280887604e-05,0.025,0.01,301285,452802,25850,31840,1.0,1,0.483,1.0,1.0,0.935,0.998,0.999,0.985,0.495
99,10932,31,1,8,25,114.287,265,0,2.8706789016723635e-09,0.027,0.019,791405,441340,39077,31478,0.0,1,0.499,0.15,0.001,0.002,0.024,0.007,1.0,0.99
106,18912,32,1,8,12,124.462,274,0,1.3451337814331054e-08,0.081,0.063,759150,494815,59202,40861,0.001,1,0.377,0.364,0.08,0.031,0.229,0.113,0.999,0.649
107,10250,31,1,4,5,125.785,263,1,3.2024383544921874e-08,0.121,0.07,436933,451482,30700,31689,0.0,1,0.0,0.999,0.852,0.863,0.246,0.281,0.975,0.727
99,11297,31,1,8,14,116.299,263,0,1.0281801223754882e-11,0.161,0.109,552945,448480,39738,32734,0.0,1,0.266,0.16,0.003,0.003,0.059,0.01,1.0,0.918
99,14940,31,1,8,6,116.355,281,1,4.5239925384521485e-11,0.09,0.036,834367,506296,59098,38320,0.0,1,0.012,0.574,0.204,0.156,0.147,0.157,1.0,0.474
99,24760,35,1,8,7,114.053,280,1,5.4836273193359375e-12,0.304,0.097,1172191,867265,91547,62839,0.0,1,0.0,0.976,0.35,0.702,0.263,0.15,1.0,0.788
140,10267,45,3,8,20,143.279,120,0,2.27074978351593e-05,0.173,0.156,711378,633974,32588,33383,0.0,1,0.03,0.999,0.017,0.244,0.075,0.066,0.53,1.0
155,27614,45,2,8,31,165.141,278,0,2.2947080254554747e-05,0.025,0.01,304546,512845,26983,36651,1.0,1,0.5,1.0,1.0,0.93,1.0,1.0,1.0,0.478
146,20931,44,1,8,6,135.34,137,1,1.6931384801864625e-08,0.317,0.159,1120422,860511,89060,63510,0.0,1,0.0,1.0,0.332,0.482,0.168,0.29,0.826,0.458
144,11050,34,1,8,5,158.765,266,1,2.1758347749710085e-07,0.105,0.124,522424,495746,41006,34732,0.0,1,0.0,1.0,0.887,0.835,0.284,0.683,0.978,0.482
115,10100,31,1,4,5,143.952,281,1,0.0,0.066,0.06,319630,437365,26754,31150,0.0,1,0.0,1.0,1.0,0.94,0.582,0.832,1.0,0.41
99,15468,34,1,8,13,114.457,248,0,0.0,0.29,0.141,1034329,596740,70568,42581,0.0,1,0.016,0.167,0.002,0.016,0.156,0.04,1.0,0.963
155,22349,42,1,8,11,164.942,281,0,3.571836054325104e-07,0.026,0.01,322283,473675,37864,33469,0.973,1,0.003,1.0,1.0,0.939,0.989,0.999,1.0,0.411
99,21633,32,1,8,30,114.613,226,0,6.854534149169922e-13,0.153,0.094,1092794,552066,78895,47712,0.0,1,0.499,0.15,0.0,0.0,0.014,0.006,1.0,0.838
100,22553,35,1,8,27,115.234,160,0,9.596347808837891e-12,0.272,0.144,1057472,663968,79226,57196,0.0,1,0.433,0.156,0.001,0.001,0.043,0.011,1.0,0.785
154,17275,45,1,8,29,163.954,168,0,2.2995839297771452e-05,0.025,0.01,301017,461330,24780,31157,1.0,1,0.346,1.0,1.0,0.94,0.999,0.999,0.652,0.952
99,10737,31,1,4,5,115.363,281,1,0.0,0.028,0.014,416351,434146,28723,31189,0.0,1,0.005,0.414,0.246,0.122,0.158,0.074,1.0,0.438
123,14759,35,3,8,28,155.063,120,0,6.928768754005433e-08,0.211,0.156,669640,517857,39856,44748,0.0,0,0.5,0.17,0.0,0.0,0.008,0.004,0.715,0.874
100,12650,34,1,8,17,115.216,146,0,9.929478168487548e-09,0.178,0.102,1030610,525625,66501,35424,0.0,1,0.038,0.371,0.007,0.083,0.103,0.071,0.989,0.987
100,10709,31,1,4,5,117.166,281,1,0.0,0.316,0.156,427356,586948,39542,36153,0.0,1,0.0,1.0,1.0,0.94,0.842,0.756,1.0,0.413
149,10873,36,2,4,6,164.955,125,0,9.961009025573731e-09,0.282,0.16,365290,465241,32592,37382,0.0,0,0.033,0.972,0.008,0.006,0.059,0.045,0.673,0.651
155,11127,45,3,8,30,165.54,120,0,2.299999177455902e-05,0.025,0.012,302046,494826,24459,31131,0.997,1,0.032,1.0,1.0,0.94,0.999,0.999,0.53,0.999
148,16895,39,2,8,19,156.168,148,0,7.980597019195557e-07,0.158,0.133,670030,561942,58881,48605,0.001,0,0.417,0.909,0.038,0.026,0.097,0.194,0.875,0.608
99,12238,33,1,8,5,114.704,274,1,0.0,0.319,0.158,869698,721365,73061,49092,0.0,1,0.0,0.999,0.479,0.762,0.469,0.085,1.0,0.927
101,19458,37,1,8,20,116.639,128,0,1.4369159936904909e-08,0.277,0.135,1112621,759554,86538,56443,0.0,1,0.262,0.35,0.01,0.042,0.102,0.039,0.962,0.979
155,27483,45,3,8,31,165.245,130,0,1.3871105372905732e-05,0.036,0.083,419452,667723,43782,62041,0.384,0,0.5,0.925,0.304,0.009,0.484,0.533,0.947,0.433
99,22249,34,1,8,5,114.014,281,1,0.0,0.319,0.144,1113713,876931,89671,62631,0.0,1,0.0,1.0,0.998,0.94,0.885,0.62,1.0,0.411
155,27639,45,3,8,31,165.999,120,0,2.3e-05,0.025,0.01,297690,734384,24306,36320,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.535,0.727
99,24482,33,1,8,15,114.213,281,1,5.010664463043212e-10,0.176,0.024,1151916,761210,88945,58029,0.0,1,0.011,0.818,0.324,0.649,0.31,0.377,1.0,0.637
139,11095,38,1,8,11,165.031,272,0,1.6792551696300505e-05,0.025,0.015,300133,434375,24453,31109,0.337,1,0.437,0.998,0.992,0.718,0.889,0.908,0.989,0.588
99,26290,35,1,8,5,114.007,281,1,0.0,0.319,0.089,1179097,890526,91951,63903,0.0,1,0.0,1.0,0.968,0.931,0.209,0.435,1.0,0.412
101,11850,32,1,4,5,118.625,281,1,5.894899368286133e-11,0.26,0.11,830098,698549,74470,43211,0.0,1,0.0,1.0,1.0,0.94,0.504,0.631,1.0,0.437
126,17522,41,3,8,31,139.466,120,0,1.1845807135105134e-06,0.086,0.136,540142,529893,36511,39856,0.0,0,0.5,0.224,0.001,0.002,0.023,0.013,0.673,0.979
147,15532,37,1,8,7,157.736,273,1,2.860979735851288e-07,0.119,0.097,611853,546178,51715,41109,0.013,1,0.01,0.998,0.884,0.648,0.411,0.723,0.992,0.446
99,24047,38,1,8,5,114.083,281,1,0.0,0.319,0.14,1173500,887516,91804,63759,0.0,1,0.0,1.0,0.95,0.926,0.366,0.552,1.0,0.421
155,27566,45,3,8,31,165.98,128,0,2.2976488947868347e-05,0.026,0.019,303627,566886,26945,59329,0.999,1,0.5,1.0,0.993,0.216,0.983,0.982,0.861,0.427
99,19419,34,1,4,5,114.023,282,1,0.0,0.32,0.159,1062513,889010,90813,63430,0.0,1,0.0,1.0,1.0,0.94,0.969,0.894,1.0,0.41
155,27430,45,3,8,31,164.555,124,0,2.174641263484955e-05,0.031,0.022,376451,689925,34579,57732,0.88,1,0.5,0.994,0.853,0.242,0.887,0.912,0.868,0.54
99,17608,31,1,8,6,114.103,281,1,0.0,0.041,0.013,1014262,479684,80193,36034,0.0,1,0.009,0.313,0.127,0.092,0.107,0.05,1.0,0.457
136,25419,45,1,8,6,119.456,175,1,2.6732683181762696e-11,0.319,0.16,1171798,889826,91718,63866,0.0,1,0.0,1.0,0.08,0.259,0.13,0.272,0.996,0.46
153,14135,44,2,8,21,164.863,153,0,2.2535904169082643e-05,0.028,0.03,329470,487341,27033,32877,0.753,1,0.344,1.0,0.973,0.784,0.85,0.899,0.653,0.765
99,15155,34,1,8,5,114.267,281,1,0.0,0.318,0.145,980732,785236,78591,56582,0.0,1,0.0,1.0,0.978,0.934,0.623,0.488,1.0,0.44
155,27022,45,3,8,31,165.964,120,0,1.642976862192154e-05,0.03,0.147,312349,672884,26274,60210,0.002,0,0.5,0.984,0.028,0.001,0.1,0.109,0.558,0.507
151,24261,44,3,8,30,157.743,123,0,8.122507810592651e-06,0.063,0.079,508536,637931,47437,47858,0.044,1,0.499,0.918,0.185,0.093,0.445,0.549,0.738,0.735
155,24039,45,3,8,28,165.659,139,0,2.29520868062973e-05,0.027,0.015,328594,573080,28414,38454,0.995,1,0.324,1.0,1.0,0.927,0.987,0.997,0.579,0.523
155,26708,45,3,8,31,164.684,120,0,1.828912818431854e-05,0.052,0.105,391567,622244,33016,56352,0.033,0,0.5,0.971,0.139,0.017,0.365,0.414,0.614,0.642
155,27390,46,3,8,31,165.995,120,0,2.3e-05,0.025,0.01,297657,576452,24277,31074,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.53,1.0
104,25346,41,1,8,5,115.21,280,1,3.427267074584961e-12,0.318,0.151,1166097,880186,91324,63696,0.0,1,0.0,0.999,0.74,0.824,0.489,0.531,1.0,0.431
139,10166,36,2,4,7,159.027,121,0,5.3454159200191495e-06,0.105,0.149,336825,445943,25167,31316,0.0,1,0.007,0.99,0.075,0.181,0.209,0.141,0.547,0.967
153,14053,42,3,8,17,165.702,124,0,5.23847833275795e-06,0.131,0.152,338357,471588,27616,39540,0.001,0,0.488,0.965,0.05,0.01,0.151,0.176,0.608,0.534
